,CCG_Poll_Map,Year,Nitrogen dioxide,PM10
55,Hounslow,2008,50.79522351374722,
56,Hounslow,2009,49.28868693368281,
57,Hounslow,2010,43.58286132882461,
58,Hounslow,2011,44.513516593846674,
59,Hounslow,2012,44.75177720684012,
60,Hounslow,2013,48.00775854848622,
61,Hounslow,2014,44.91178243490025,
62,Hounslow,2015,41.635070595937705,
63,Hounslow,2016,43.95647106732182,
64,Hounslow,2017,42.94356382930549,
65,Hounslow,2018,36.22280363973103,
66,Hounslow,2019,32.224514770239146,
67,Hounslow,2020,26.89869276368752,
68,South West London,2004,32.17711972637567,22.974463454420324
69,South West London,2005,32.569455642932425,23.207930104062253
70,South West London,2006,31.926839848196426,22.97239992698861
71,South West London,2007,34.15358041700518,21.57778888112926
72,South West London,2008,32.64468201507018,20.151395679393726
73,South West London,2009,32.07963126540219,20.70153171500894
74,South West London,2010,32.282602244424766,20.078349973785
75,South West London,2011,28.879385197631734,22.71813238486033
76,South West London,2012,32.365485376182264,19.472033955541164
77,South West London,2013,28.02409971414673,21.258820343384823
78,South West London,2014,29.834611262268897,17.834866632433698
79,South West London,2015,25.24649162399369,15.319123276775201
80,South West London,2016,31.37779233498577,18.424105803804512
81,South West London,2017,29.553676220533344,18.0979122847663
82,South West London,2018,28.607941042570282,17.522023691804367
83,South West London,2019,27.90021045899784,17.12738807875013
84,South West London,2020,18.563667319026102,16.859589815478135
85,Surrey Heartlands,2004,33.70989968445995,23.94585471211713
86,Surrey Heartlands,2005,37.54430589068009,24.84438164817213
87,Surrey Heartlands,2006,33.48376064701523,26.49731334284727
88,Surrey Heartlands,2007,37.56444489952767,24.3427621319158
89,Surrey Heartlands,2008,34.80325162724035,21.86015740421361
90,Surrey Heartlands,2009,33.448583081778445,21.196503084942343
91,Surrey Heartlands,2010,37.10605464111031,20.71528357798679
92,Surrey Heartlands,2011,30.29160213560411,23.913083472588305
93,Surrey Heartlands,2012,30.631591406628257,20.012126962137827
94,Surrey Heartlands,2013,34.378127915599855,21.58523690779892
95,Surrey Heartlands,2014,32.61005279116354,17.701809765468372
96,Surrey Heartlands,2015,27.40904354395405,13.508984649322036
97,Surrey Heartlands,2016,31.474620026768022,14.579729099048047
98,Surrey Heartlands,2017,29.069935008783602,13.70465866306808
99,Surrey Heartlands,2018,30.26354383974885,14.84923063269029
100,Surrey Heartlands,2019,29.637123848157984,15.330294244210187
101,Surrey Heartlands,2020,19.531107569586972,13.867397483630507
102,Hammersmith and Fulham,2004,58.655706618399044,26.15843463906273
103,Oxford,2004,63.54589708734695,27.78944357738571
104,Watford,2004,38.83654703549304,24.2009173885897
105,Hammersmith and Fulham,2005,52.325336589338,30.94865509224381
106,Oxford,2005,49.3628634655282,25.59443373457876
107,Watford,2005,37.95879594066547,24.798499136129166
108,Hammersmith and Fulham,2006,61.199159977797244,26.324389623428182
109,Oxford,2006,55.82056537600665,28.368754538578926
110,Reading,2006,39.60795710469079,24.900647780725155
111,Watford,2006,37.26001478305594,23.5305517946566
112,Hammersmith and Fulham,2007,60.16068460190747,25.63184544971639
113,Oxford,2007,58.2570257172085,25.961704907483877
114,Reading,2007,53.170798373493795,31.67636907340601
115,Watford,2007,35.79176019233154,23.221057177476002
116,Hammersmith and Fulham,2008,56.576835543981936,25.86377199037103
117,Oxford,2008,54.46001588132086,24.872507720832754
118,Reading,2008,43.44185020430232,24.531072679147282
