Date,Location,Nitrogen dioxide,Ozone,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide,CCG
2010,Reading - Kings Road,53.38767237669649,,25.545106657489693,,,Reading
2010,Reading - Oxford Road,39.18155782258662,,24.519224587131443,,,Reading
2010,Reading Caversham Road,48.39018786136533,,26.59073273180006,,,Reading
2010,Reading Kings Road,53.3900827243663,,25.553894020365764,,,Reading
2010,Reading Oxford Road,39.187717000274326,,24.514127902368056,,,Reading
2010,Watford Town Hall,38.79100702531181,,22.718199554223883,,,Watford
2011,H&F Shepherd's Bush,83.64898474419026,,32.77238052568698,,,Hammersmith and Fulham
2011,Oxford High St,52.55301708890414,,22.91341079295766,,,Oxford
2011,Oxford St Ebbes (Cal Club),,38.608095943348985,,,,Oxford
2011,Reading - Caversham Road,47.40351904622825,,32.104825988281696,,,Reading
2011,Reading - Kings Road,52.43309842102304,,30.787405467133425,,,Reading
2011,Reading - Oxford Road,37.81761432379444,,25.276413872870307,,,Reading
2011,Reading Caversham Road,47.47423072118094,,32.145254264005686,,,Reading
2011,Reading Kings Road,52.5303642235769,,30.82161729363644,,,Reading
2011,Reading Oxford Road,37.86456141420532,,25.29723365171297,,,Reading
2011,Watford Town Hall,38.54786485792271,,24.512667014430686,,,Watford
2012,H&F Shepherd's Bush,92.04156192063498,,37.70916463911675,,,Hammersmith and Fulham
2012,Oxford High St,57.90691997301866,,20.511618587089643,,,Oxford
2012,Oxford St Ebbes (Cal Club),,35.10002018106793,,,,Oxford
2012,Reading - Caversham Road,46.588096244016505,,32.732575004685685,,,Reading
2012,Reading - Kings Road,53.490967719121365,,28.612622781591426,,,Reading
2012,Reading - Oxford Road,38.40890276747488,,23.492213173367656,,,Reading
2012,Reading Caversham Road,46.647561249635764,,32.73291907772086,,,Reading
2012,Reading Kings Road,53.490967719121365,,28.62765319323474,,,Reading
2012,Reading Oxford Road,38.48078271465362,,23.490679048517,,,Reading
2012,Watford Town Hall,38.5531932333797,,21.794203034165477,,,Watford
2013,H&F Shepherd's Bush,77.79796316492659,,26.49792140591713,,,Hammersmith and Fulham
2013,Oxford High St,52.14528026173364,,22.290243629477597,,,Oxford
2013,Oxford St Ebbes (Cal Club),,36.761816739234945,,,,Oxford
2013,Reading - Caversham Road,58.30648382201076,,37.51785488617944,,,Reading
2013,Reading - Kings Road,65.64814339363423,,33.76130697595462,,,Reading
2013,Reading - Oxford Road,52.60860213709678,,23.09515395894428,,,Reading
2013,Reading Caversham Road,43.50110731123376,,29.646648047055297,,,Reading
2013,Reading Kings Road,60.54479900020858,,23.828189647214458,,,Reading
2013,Reading Oxford Road,36.99685178520781,,17.39811456467308,,,Reading
2013,Watford Town Hall,39.23086827290806,,23.628673170466953,,,Watford
2014,H&F Shepherd's Bush,80.75805644668205,,28.406974637681163,,,Hammersmith and Fulham
2014,Oxford High St,46.947159729770284,,19.601850191929447,,,Oxford
2014,Oxford St Ebbes (Cal Club),,34.717028121300004,,,,Oxford
2014,Reading Caversham Road,40.82564565900132,,32.68322014639326,,,Reading
2014,Reading Kings Road,49.44207379250772,,31.20657049536179,,,Reading
2014,Reading Oxford Road,35.34233989671525,,20.184510785994682,,,Reading
2014,Watford Town Hall,39.91325294937453,,20.767375200209635,,,Watford
2015,H&F Shepherd's Bush,77.25785099746336,,25.384717511779787,,,Hammersmith and Fulham
2015,Oxford High St,44.0889587691537,,21.289544773837143,,,Oxford
2015,Oxford St Ebbes (Cal Club),,39.597178826248246,,,,Oxford
2015,Reading Caversham Road,38.02020904513054,,27.836199310527636,,,Reading
2015,Reading Kings Road,47.83369637053074,,25.072878745904138,,,Reading
2015,Reading Oxford Road,30.732514004605466,,22.87178989022411,,,Reading
2015,Watford Town Hall,35.147554524912515,,21.838145406792478,,,Watford
2016,H&F Shepherd's Bush,74.93779640620328,,26.288016563869164,,,Hammersmith and Fulham
2016,Oxford High St,46.67459206495556,,19.782039379558363,,,Oxford
2016,Oxford St Ebbes (Cal Club),,31.307083207014553,,,,Oxford
2016,Reading Caversham Road,38.90394529832458,,19.762526174516474,,,Reading
2016,Reading Kings Road,41.45481388044016,,19.646461349591473,,,Reading
2016,Reading Oxford Road,29.63967235580061,,22.554296914463098,,,Reading
2016,Watford Town Hall,35.567546259297494,,14.269256335847759,13.86352449223417,,Watford
2017,H&F Shepherd's Bush,76.80877754472597,,26.83732760792819,,,Hammersmith and Fulham
2017,Oxford High St,39.27658523841465,,17.10285982302336,,,Oxford
2017,Oxford St Ebbes (Cal Club),,35.21848226078597,,,,Oxford
2017,Reading Caversham Road,35.84051348777307,,21.71628765012159,,,Reading
2017,Reading Oxford Road,28.481357132020676,,20.303958447348762,,,Reading
2017,Watford Town Hall,32.594032118045554,,13.761175309263377,9.046639613228372,,Watford
2018,H&F Shepherd's Bush,71.46410514612711,,25.708968632251455,,,Hammersmith and Fulham
2018,Oxford High St,39.217792603660676,,19.16078902801334,,,Oxford
2018,Oxford St Ebbes (Cal Club),,45.05988358988324,,,,Oxford
2018,Reading Caversham Road,40.48891842042183,,24.1617704490492,,,Reading
2018,Reading Oxford Road,27.916442829192288,,22.973236768397133,,,Reading
2018,Watford Town Hall,31.861290743592775,,14.98304824030477,9.268622047463213,,Watford
2019,H&F Hammersmith Town Centre,52.970944100783335,29.89964807398885,21.5282927752429,15.103699552241883,,Hammersmith and Fulham
2019,H&F Shepherd's Bush,60.127154654094234,,23.927048829399897,,,Hammersmith and Fulham
2019,Oxford High St,39.69151097641681,,17.388310856363844,,,Oxford
2019,Oxford St Ebbes (Cal Club),,43.629496870375164,,,,Oxford
2019,Reading Caversham Road,34.76127193883935,,24.429486413237896,,,Reading
2019,Reading Oxford Road,26.090522756960123,,21.072165076213,,,Reading
2019,Watford Town Hall,30.165464311389666,,15.055914373882247,9.476284379011851,,Watford
2020,H&F Hammersmith Town Centre,36.871710777501534,38.11402287048222,19.103074233413167,13.631647532641095,,Hammersmith and Fulham
2020,H&F Shepherd's Bush,40.45832248424051,,25.533595034398004,,,Hammersmith and Fulham
2020,Oxford High St,28.006868348879078,,15.914070344894553,,,Oxford
2020,Oxford St Ebbes (Cal Club),,46.380779323131556,,,,Oxford
2020,Reading Caversham Road,24.945058848239608,,20.666082397364775,,,Reading
2020,Reading Oxford Road,19.730862117727625,,18.177858218572283,,,Reading
2020,Watford Town Hall,20.813022061718126,,13.758944803816773,7.8772818345369835,,Watford
