,Location,Date,Carbon monoxide,Nitric Oxide,Nitrogen dioxide,Oxides of Nitrogen,Ozone,PM10 Particulate matter,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide,Nitric oxide,CCG,lat/long,distance_from_LHR,Radius
254,Heathrow LHR2,2007,,,54.00307777496835,,,,29.235668808417245,,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
255,Heathrow LHR2,2008,,,52.767325383692075,,,,26.86866123439442,,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
256,Heathrow LHR2,2009,,,49.864985352146675,,,,25.134447660164014,,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
257,Heathrow LHR2,2010,,,49.85886879005814,,,,24.3788003100972,11.31157040740851,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
258,Heathrow LHR2,2011,,,50.34010603011454,,,,24.922870443335007,11.377450108690445,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
259,Heathrow LHR2,2012,,,46.99179462342446,,,,24.294934490651052,10.588096991354888,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
260,Heathrow LHR2,2013,,,47.88038382722805,,,,26.080206809691123,10.93517843988444,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
261,Heathrow LHR2,2014,,,46.506399907930806,,,,17.918614407046313,9.92124466665076,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
262,Heathrow LHR2,2015,,,44.177800800983626,,,,13.154655882152825,8.64823895963532,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
263,Heathrow LHR2,2016,,,47.872269205779396,,,,14.547124468306988,9.350462480013725,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
264,Heathrow LHR2,2017,,,48.41253693897339,,,,15.155070499153837,9.121055643128077,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
265,Heathrow LHR2,2018,,,43.35449539563852,,,,14.184669790440697,9.058474489732918,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
266,Heathrow LHR2,2019,,,42.4914619669513,,,,13.386902918403807,8.697042669956604,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
267,Heathrow LHR2,2020,,,25.010733472271742,,,,11.635654560533643,7.178454961485912,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
268,Heathrow Oaks Road,2004,,,33.70989968445995,,,,23.94585471211713,11.631702891569878,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
269,Heathrow Oaks Road,2005,,,37.544305890680086,,,,24.844381648172135,11.96573791453155,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
270,Heathrow Oaks Road,2006,,,33.483760647015224,,,,26.497313342847267,12.237865972145531,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
271,Heathrow Oaks Road,2007,,,37.564444899527665,,,,24.342762131915805,12.198261361930347,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
272,Heathrow Oaks Road,2008,,,34.80325162724035,,,,21.86015740421361,11.502066787841112,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
273,Heathrow Oaks Road,2009,,,33.448583081778445,,,,21.196503084942346,10.286653666348341,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
274,Heathrow Oaks Road,2010,,,37.106054641110305,,,,20.71528357798679,10.669508286826774,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
275,Heathrow Oaks Road,2011,,,30.29160213560411,,,,23.913083472588305,10.439104380344425,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
276,Heathrow Oaks Road,2012,,,30.631591406628257,,,,20.012126962137827,9.758064056670998,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
277,Heathrow Oaks Road,2013,,,34.378127915599855,,,,21.58523690779892,9.9703922743585,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
278,Heathrow Oaks Road,2014,,,32.61005279116354,,,,17.701809765468372,10.016992674593208,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
279,Heathrow Oaks Road,2015,,,27.409043543954045,,,,13.508984649322036,9.028487017688663,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
280,Heathrow Oaks Road,2016,,,31.47462002676802,,,,14.579729099048047,9.498990713930988,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
281,Heathrow Oaks Road,2017,,,25.745706717897,,,,14.145530607345712,9.207462882540355,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
282,Heathrow Oaks Road,2018,,,27.852091447668165,,,,15.249259329513036,9.645984984640132,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
283,Heathrow Oaks Road,2019,,,26.211692062683564,,,,14.950952114131457,9.512783314821354,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
284,Heathrow Oaks Road,2020,,,16.35354863972242,,,,13.072851231648794,7.354841995263192,,,Surrey Heartlands,"[51.46773895, -0.4587800741571181]",0.40106196004584826,Inner
285,Hillingdon 2 - Hillingdon Hospital,2004,,,37.48037232433728,,,,25.23966272684802,,,,Hillingdon,"[51.532563, -0.453256]",6.954845755476212,Inner
286,Hillingdon 2 - Hillingdon Hospital,2005,,,38.904307268986216,,,,22.701754762644878,,,,Hillingdon,"[51.532563, -0.453256]",6.954845755476212,Inner
287,Hillingdon 2 - Hillingdon Hospital,2006,,,37.51473925043801,,,,22.919479840357944,,,,Hillingdon,"[51.532563, -0.453256]",6.954845755476212,Inner
288,Hillingdon 2 - Hillingdon Hospital,2007,,,44.2039289086218,,,,28.483576742696204,,,,Hillingdon,"[51.532563, -0.453256]",6.954845755476212,Inner
289,Hillingdon 2 - Hillingdon Hospital,2008,,,35.539570361145685,,,,21.16240055633721,,,,Hillingdon,"[51.532563, -0.453256]",6.954845755476212,Inner
290,Hillingdon 2 - Hillingdon Hospital,2009,,,39.587079532208115,,,,20.513807516828237,,,,Hillingdon,"[51.532563, -0.453256]",6.954845755476212,Inner
291,Hillingdon 2 - Hillingdon Hospital,2010,,,36.99427904731838,,,,21.05440544700166,,,,Hillingdon,"[51.532563, -0.453256]",6.954845755476212,Inner
292,Hillingdon 2 - Hillingdon Hospital,2011,,,34.9738155499025,,,,23.14003307293407,,,,Hillingdon,"[51.532563, -0.453256]",6.954845755476212,Inner
293,Hillingdon Harmondsworth,2007,,,35.420358214125045,,,,21.485230152869914,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
294,Hillingdon Harmondsworth,2008,,,32.47237547042317,,,,29.74893447401526,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
295,Hillingdon Harmondsworth,2009,,,33.45205143664278,,,,27.938454198077704,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
296,Hillingdon Harmondsworth,2010,,,30.953183031014053,,,,20.28779667072151,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
297,Hillingdon Harmondsworth,2011,,,31.514376923251508,,,,21.499060195563494,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
298,Hillingdon Harmondsworth,2012,,,31.756680102654673,,,,19.555214290202514,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
299,Hillingdon Harmondsworth,2013,,,30.120286954620692,,,,21.923819861207722,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
300,Hillingdon Harmondsworth,2014,,,29.338956470221785,,,,20.95413587482267,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
301,Hillingdon Harmondsworth,2015,,,27.955846192030233,,,,21.96336832488334,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
302,Hillingdon Harmondsworth,2016,,,26.992119473336473,,,,22.82848814134207,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
303,Hillingdon Harmondsworth,2017,,,26.540709414749784,,,,23.14852946432725,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
304,Hillingdon Harmondsworth,2018,,,24.76680589771111,,,,18.188177124343873,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
305,Hillingdon Harmondsworth,2019,,,23.66696769710062,,,,14.966045966219022,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
306,Hillingdon Harmondsworth,2020,,,16.947756707981764,,,,15.37170110219857,,,,Hillingdon,"[51.487989, -0.480984]",2.7218366847394155,Inner
307,Hillingdon Harmondsworth Osiris,2007,,,,,,,34.51355944637356,11.533814523184605,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
