Date,Location,Nitrogen dioxide,Ozone,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide,CCG
2006-02,Watford Town Hall,,,30.94196428571429,,,Watford
2006-03,Broadway,82.46194032781733,,28.530820476858345,,5.9846809626661335,Hammersmith and Fulham
2006-03,Brook Green,43.66386142676767,,20.53838553335398,,,Hammersmith and Fulham
2006-03,Oxford High St,50.22876548738618,,29.766984359726294,,,Oxford
2006-03,Oxford St Ebbes (Cal Club),,60.12540792540791,,,,Oxford
2006-03,Watford Roadside,37.662809724170174,51.413744740532955,,,,Watford
2006-03,Watford Town Hall,,,22.805329868735672,,,Watford
2006-04,Broadway,76.72125407608695,,26.230388129560122,,4.374529240942028,Hammersmith and Fulham
2006-04,Brook Green,36.93821671195653,,21.43989734299517,,,Hammersmith and Fulham
2006-04,Oxford High St,56.05863526570048,,23.760261949770452,,,Oxford
2006-04,Oxford St Ebbes (Cal Club),,58.24166666666667,,,,Oxford
2006-04,Watford Roadside,37.5219806763285,49.27705314009661,,,,Watford
2006-04,Watford Town Hall,,,22.036530679465457,,,Watford
2006-05,Broadway,81.40858133845465,,27.278323558162267,,4.716550989364188,Hammersmith and Fulham
2006-05,Brook Green,32.80142027524544,,21.16586605890603,,,Hammersmith and Fulham
2006-05,Oxford High St,50.92681523712379,,25.90614478114478,,,Oxford
2006-05,Oxford St Ebbes (Cal Club),,50.13191593352882,,,,Oxford
2006-05,Watford Roadside,33.95155446470313,47.229546517064044,,,,Watford
2006-05,Watford Town Hall,,,21.20925914120164,,,Watford
2006-06,Broadway,86.97801278409091,,30.30335137085137,,5.551052836956521,Hammersmith and Fulham
2006-06,Brook Green,35.524953124999996,,24.780716374269012,,,Hammersmith and Fulham
2006-06,Oxford High St,68.54006916996046,,32.88929256444736,,,Oxford
2006-06,Oxford St Ebbes (Cal Club),,55.65700483091788,,,,Oxford
2006-06,Watford Roadside,39.84849033816425,53.6183574879227,,,,Watford
2006-06,Watford Town Hall,,,24.503804347826083,,,Watford
2006-07,Broadway,87.19858890194017,,35.2427360916316,,8.09437942847125,Hammersmith and Fulham
2006-07,Brook Green,36.73939099754558,,28.666006311360448,,,Hammersmith and Fulham
2006-07,Oxford High St,70.38153448935358,,33.949509116409544,,,Oxford
2006-07,Oxford St Ebbes (Cal Club),,63.5426267281106,,,,Oxford
2006-07,Watford Roadside,36.30779569892473,61.31410174678058,,,,Watford
2006-07,Watford Town Hall,,,26.837861660079056,,,Watford
2006-08,Broadway,54.72176673114928,,22.628084127260916,,2.330683666544224,Hammersmith and Fulham
2006-08,Brook Green,30.104806006493504,,15.122718544895966,,,Hammersmith and Fulham
2006-08,Oxford High St,61.6810271646859,,24.60366993922393,,,Oxford
2006-08,Oxford St Ebbes (Cal Club),,32.475168350168346,,,,Oxford
2006-08,Watford Roadside,30.863181932606903,31.60291473370015,,,,Watford
2006-08,Watford Town Hall,,,16.578377917372485,,,Watford
2006-09,Broadway,90.24048472790797,,31.76909542751934,,6.193602216097308,Hammersmith and Fulham
2006-09,Brook Green,34.88984374999999,,22.73857142857143,,,Hammersmith and Fulham
2006-09,Oxford High St,55.818933904259985,,25.8,,,Oxford
2006-09,Oxford St Ebbes (Cal Club),,39.15057369101486,,,,Oxford
2006-09,Watford Roadside,36.00694444444445,33.14565217391305,,,,Watford
2006-09,Watford Town Hall,,,19.375009203706288,,,Watford
2006-10,Broadway,89.94983060133241,,31.248679820646863,,6.197524084268349,Hammersmith and Fulham
2006-10,Brook Green,37.95830798562413,,21.975,,,Hammersmith and Fulham
2006-10,Oxford High St,54.00096946433406,,25.77232351566153,,,Oxford
2006-10,Oxford St Ebbes (Cal Club),,36.10425432445068,,,,Oxford
2006-10,Watford Roadside,34.153591682419666,29.046628859483302,,,,Watford
2006-10,Watford Town Hall,,,21.928720704582773,,,Watford
2006-11,Broadway,101.45756960227273,,34.06328941589812,,6.755462127415461,Hammersmith and Fulham
2006-11,Brook Green,45.12680027173913,,23.517822463768127,,,Hammersmith and Fulham
2006-11,Oxford High St,55.08985507246377,,24.78531510759772,,,Oxford
2006-11,Oxford St Ebbes (Cal Club),,37.92560386473429,,,,Oxford
2006-11,Reading - Caversham Road,43.642354445071824,,,,,Reading
2006-11,Reading Caversham Road,43.642354445071824,,,,,Reading
2006-11,Watford Roadside,40.04290890269151,28.990800865800868,,,,Watford
2006-11,Watford Town Hall,,,24.48377909530084,,,Watford
2006-12,Broadway,94.48651510398142,,30.601701535650932,,6.839128776297335,Hammersmith and Fulham
2006-12,Brook Green,40.70591733870968,,22.733198924731184,,,Hammersmith and Fulham
2006-12,Oxford High St,44.20115626542697,,22.07704701796567,,,Oxford
2006-12,Oxford St Ebbes (Cal Club),,42.09286412512219,,,,Oxford
2006-12,Reading - Caversham Road,35.573559764309756,,,,,Reading
2006-12,Reading Caversham Road,35.573559764309756,,,,,Reading
2006-12,Watford Roadside,37.469086021505376,31.589644693782144,,,,Watford
2006-12,Watford Town Hall,,,22.455452681960395,,,Watford
2007-01,Broadway,84.92807939803009,,21.61107401616371,,5.315646810528559,Hammersmith and Fulham
2007-01,Brook Green,34.301881136044884,,15.556545645798803,,,Hammersmith and Fulham
2007-01,Oxford High St,49.9898316970547,,20.545698924731177,,,Oxford
2007-01,Oxford St Ebbes (Cal Club),,52.32524857875489,,,,Oxford
2007-01,Reading - Caversham Road,27.823882230439036,,,,,Reading
2007-01,Reading Caversham Road,27.823882230439036,,,,,Reading
2007-01,Watford Roadside,33.31765581555572,38.125734578897635,,,,Watford
2007-01,Watford Town Hall,,,16.34905303030303,,,Watford
2007-02,Broadway,99.70701870286162,,31.084808488612843,,6.923163601190475,Hammersmith and Fulham
2007-02,Brook Green,47.34092075892857,,22.662085921325055,,,Hammersmith and Fulham
2007-02,Oxford High St,62.27581521739131,,30.412267080745345,,,Oxford
2007-02,Oxford St Ebbes (Cal Club),,36.15059523809523,,,,Oxford
2007-02,Reading - Caversham Road,56.22793972332016,,15.829443173150265,,,Reading
2007-02,Reading Caversham Road,56.22793972332016,,15.829443173150265,,,Reading
2007-02,Watford Roadside,47.72362736900781,29.392801685891747,,,,Watford
2007-02,Watford Town Hall,,,26.647496357641288,,,Watford
2007-03,Broadway,84.71149026179818,,33.71359321779203,,1.9875327006202335,Hammersmith and Fulham
2007-03,Brook Green,40.231416552197814,,30.441786731267793,,,Hammersmith and Fulham
2007-03,Oxford High St,58.85811126694717,,31.801075268817204,,,Oxford
2007-03,Oxford St Ebbes (Cal Club),,53.342173860849556,,,,Oxford
2007-03,Reading - Caversham Road,54.592066498316505,,30.43051075268817,,,Reading
2007-03,Reading Caversham Road,54.592066498316505,,30.43051075268817,,,Reading
2007-03,Watford Roadside,37.160004675081815,48.36095881677928,,,,Watford
2007-03,Watford Town Hall,,,31.54301075268817,,,Watford
2007-04,Broadway,74.84580298913043,,36.11268115942029,,,Hammersmith and Fulham
2007-04,Brook Green,43.87646874999999,,34.836288138825324,,,Hammersmith and Fulham
2007-04,Oxford High St,72.78666556873077,,30.256219806763283,,,Oxford
2007-04,Oxford St Ebbes (Cal Club),,52.03888888888888,,,,Oxford
2007-04,Reading - Caversham Road,42.496972128113434,,36.52555072463768,,,Reading
2007-04,Reading Caversham Road,42.496972128113434,,36.52555072463768,,,Reading
2007-04,Watford Roadside,43.100724637681154,53.23115942028985,,,,Watford
2007-04,Watford Town Hall,,,34.90627731769036,,,Watford
2007-05,Broadway,74.93420209502106,,,,,Hammersmith and Fulham
2007-05,Brook Green,28.168785299115324,,16.406866526414213,,,Hammersmith and Fulham
2007-05,Oxford High St,51.204253261932095,,20.627482555018787,,,Oxford
2007-05,Oxford St Ebbes (Cal Club),,48.34677419354838,,,,Oxford
2007-05,Reading - Caversham Road,33.37786735821448,,22.370430107526886,,,Reading
2007-05,Reading Caversham Road,33.37786735821448,,22.370430107526886,,,Reading
2007-05,Watford Roadside,29.74450677886863,55.55715287517531,,,,Watford
2007-05,Watford Town Hall,,,16.665480708412396,,,Watford
2007-06,Broadway,85.69307546936759,,,,,Hammersmith and Fulham
2007-06,Brook Green,28.709074166041976,,20.968821839080455,,,Hammersmith and Fulham
2007-06,Oxford High St,53.91039415898113,,26.403423870815168,,,Oxford
2007-06,Oxford St Ebbes (Cal Club),,41.08769841269842,,,,Oxford
2007-06,Reading - Caversham Road,35.182493961352655,,26.719776570048307,,,Reading
2007-06,Reading Caversham Road,35.182493961352655,,26.719776570048307,,,Reading
2007-06,Watford Roadside,31.783838383838386,54.05277777777777,,,,Watford
2007-06,Watford Town Hall,,,20.391398637594293,,,Watford
2007-07,Broadway,77.93388164320777,,,,,Hammersmith and Fulham
2007-07,Brook Green,23.554824246143056,,13.00800023375409,,,Hammersmith and Fulham
2007-07,Oxford High St,50.431913808491664,,20.49194444444444,,,Oxford
2007-07,Oxford St Ebbes (Cal Club),,41.08717357910905,,,,Oxford
2007-07,Reading - Caversham Road,22.583069112676863,,17.992930175884723,,,Reading
2007-07,Reading Caversham Road,22.583069112676863,,17.992930175884723,,,Reading
2007-07,Watford Roadside,26.523984839377547,49.0658238701717,,,,Watford
2007-07,Watford Town Hall,,,13.540122547539319,,,Watford
2007-08,Broadway,75.73859879032258,,18.872226005026516,,,Hammersmith and Fulham
2007-08,Brook Green,26.325584742351047,,15.34578317102472,,,Hammersmith and Fulham
2007-08,Oxford High St,55.06458291591531,,23.264296187683282,,,Oxford
2007-08,Oxford St Ebbes (Cal Club),,41.17187499999999,,,,Oxford
2007-08,Reading - Caversham Road,19.36276078476389,,50.947940575665115,,,Reading
2007-08,Reading Caversham Road,19.36276078476389,,50.947940575665115,,,Reading
2007-08,Watford Roadside,36.97973903924131,39.95314892592296,,,,Watford
2007-08,Watford Town Hall,,,16.810771591245196,,,Watford
2007-09,Broadway,69.88692228662454,,22.202151039379306,,,Hammersmith and Fulham
2007-09,Brook Green,31.040225542007814,,18.970532748331717,,,Hammersmith and Fulham
2007-09,Oxford High St,53.30862663906142,,26.698934837092732,,,Oxford
2007-09,Oxford St Ebbes (Cal Club),,33.303030303030305,,,,Oxford
2007-09,Reading - Caversham Road,50.16854354884248,,21.527693236714974,,,Reading
2007-09,Reading Caversham Road,50.16854354884248,,21.527693236714974,,,Reading
2007-09,Watford Roadside,,21.627922584238373,,,,Watford
2007-09,Watford Town Hall,,,18.34260001507444,,,Watford
2007-10,Broadway,87.77321068548387,,34.85434699125092,,,Hammersmith and Fulham
2007-10,Brook Green,50.07649675666199,,28.6773415393322,,,Hammersmith and Fulham
2007-10,Oxford High St,67.94109396914446,,28.93787985039739,,,Oxford
2007-10,Oxford St Ebbes (Cal Club),,19.15591397849462,,,,Oxford
2007-10,Reading - Caversham Road,64.02558757278254,,31.77916666666666,,,Reading
2007-10,Reading - Kings Road,66.45225856157067,,,,,Reading
2007-10,Reading Caversham Road,64.02558757278254,,31.77916666666666,,,Reading
2007-10,Reading Kings Road,66.45225856157067,,,,,Reading
2007-10,Watford Town Hall,,,30.842712248341545,,,Watford
2007-11,Broadway,88.80932812500001,,30.350237956487955,,,Hammersmith and Fulham
2007-11,Brook Green,49.78932744565217,,22.35987922705313,,,Hammersmith and Fulham
2007-11,Oxford High St,66.82753623188404,,26.033574879227054,,,Oxford
2007-11,Oxford St Ebbes (Cal Club),,28.108333333333338,,,,Oxford
2007-11,Reading - Caversham Road,47.44271016061233,,21.224859295294074,,,Reading
2007-11,Reading - Kings Road,62.59123184239131,,,,,Reading
2007-11,Reading Caversham Road,47.44271016061233,,21.224859295294074,,,Reading
2007-11,Reading Kings Road,62.59123184239131,,,,,Reading
2007-11,Watford Town Hall,,,23.977018550988806,,,Watford
2007-12,Broadway,89.68005544354841,,33.893378915381014,,,Hammersmith and Fulham
2007-12,Brook Green,45.79975916023842,,25.671028684966274,,,Hammersmith and Fulham
2007-12,Oxford High St,56.48548387096776,,26.067661184070726,,,Oxford
2007-12,Oxford St Ebbes (Cal Club),,33.2270283479961,,,,Oxford
2007-12,Reading - Caversham Road,49.22429999538369,,24.505145684347717,,,Reading
2007-12,Reading - Kings Road,74.03534528694554,,,,,Reading
2007-12,Reading - Oxford Road,50.04151021156379,,36.082138061214145,,,Reading
2007-12,Reading Caversham Road,48.05138306394693,,24.62829966329966,,,Reading
2007-12,Reading Kings Road,74.03534528694554,,,,,Reading
2007-12,Reading Oxford Road,50.04151021156379,,36.082138061214145,,,Reading
